date,open,high,low,close,volume,amount
2019-09-05,14.56,14.85,14.55,14.58,1768051.43,2599478.258
2019-09-04,14.32,14.5,14.31,14.44,973964.87,1404037.295
2019-09-03,14.48,14.51,14.25,14.3,858653.65,1230606.485
2019-09-02,14.15,14.5,14.11,14.45,1360201.3,1955673.136
2019-08-30,14.29,14.39,14.1,14.16,798500.57,1136119.659
2019-08-29,14.22,14.24,14.08,14.13,609034.34,861177.482
2019-08-28,14.26,14.28,14.05,14.27,829657.68,1176329.095
2019-08-27,14.36,14.48,14.24,14.31,1356713.37,1948127.123
2019-08-26,14.42,14.5,14.15,14.25,1415122.54,2018498.039
2019-08-23,14.37,14.74,14.35,14.65,1636867.68,2388239.081
2019-08-22,14.4,14.45,14.2,14.31,1353071.58,1935208.499
2019-08-21,14.87,14.89,14.38,14.45,1990131.95,2902251.1
2019-08-20,14.92,15.2,14.77,14.99,1921041.5,2872304.2
2019-08-19,14.91,14.94,14.52,14.92,2292956.13,3368207.935
2019-08-16,15.09,15.14,14.78,14.9,986902.93,1474900.257
2019-08-15,14.64,14.96,14.6,14.94,897376.26,1333117.725
2019-08-14,15.14,15.22,14.8,14.97,1360546.54,2038261.151
2019-08-13,15.0,15.08,14.74,14.89,1293736.44,1925835.288
2019-08-12,14.61,15.12,14.6,15.12,2733425.47,4084497.902
2019-08-09,14.55,14.85,14.43,14.52,2060575.13,3021884.306
2019-08-08,13.9,14.5,13.85,14.38,2330715.04,3313302.1
2019-08-07,13.49,13.64,13.37,13.54,793038.99,1070736.943
2019-08-06,13.1,13.46,13.03,13.37,882499.13,1166971.469
2019-08-05,13.6,13.64,13.27,13.35,893082.42,1201885.399
2019-08-02,13.77,13.88,13.66,13.74,969926.46,1333400.773
2019-08-01,14.06,14.19,13.94,14.1,527981.28,742308.285
2019-07-31,14.3,14.32,14.08,14.13,634723.48,899227.865
2019-07-30,14.31,14.55,14.29,14.37,796634.32,1148582.412
2019-07-29,14.25,14.45,14.18,14.29,715576.19,1023261.763
