date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-09-05,27.2,27.88,27.42,27.2,151026.58,0.37,1.37,27.236,27.311,27.044,119750.4,125359.6,163353.18
2019-09-04,26.92,27.25,27.05,26.78,78602.7,-0.01,-0.04,27.372,27.392,27.091,125957.84,130355.3,161571.25
2019-09-03,27.35,27.38,27.06,26.83,101194.56,-0.31,-1.13,27.358,27.613,27.314,125966.22,154347.64,170262.36
2019-09-02,27.2,27.68,27.37,26.9,92178.36,0.09,0.33,27.386,27.638,27.711,128819.32,173648.22,179249.64
2019-08-30,28.79,28.98,27.28,27.23,175749.8,-0.82,-2.92,27.286,27.497,28.192,133269.58,182269.9,181316.12
2019-08-29,27.42,28.45,28.1,26.55,182063.77,1.12,4.15,27.386,27.285,28.608,130968.8,178194.34,178068.06
2019-08-28,27.03,27.58,26.98,26.74,78644.62,-0.22,-0.81,27.412,27.031,28.981,134752.75,179813.17,172305.92
2019-08-27,27.17,27.63,27.2,27.06,115460.05,0.33,1.23,27.868,26.953,29.43,182729.05,182249.09,172285.35
2019-08-26,26.38,27.22,26.87,26.38,114429.65,-0.91,-3.28,27.89,26.867,29.865,218477.11,182613.97,171103.85
2019-08-23,28.23,28.55,27.78,27.4,164245.92,-0.45,-1.59,27.708,26.844,30.354,231270.22,185594.16,170041.27
2019-08-22,29.13,29.13,28.23,28.07,200983.52,-1.03,-3.52,27.184,26.776,30.786,225419.88,201346.77,170430.32
2019-08-21,27.7,29.45,29.26,27.34,318526.12,1.95,7.14,26.65,26.789,31.159,224873.58,192787.21,168328.78
2019-08-20,26.3,28.39,27.31,26.18,294200.34,1.35,5.2,26.038,27.014,31.39,181769.12,186177.09,157810.42
2019-08-19,25.45,26.15,25.96,25.04,178395.19,0.8,3.18,25.844,27.784,31.743,146750.83,184851.06,147877.29
2019-08-16,25.5,25.84,25.16,25.08,134994.23,-0.4,-1.56,25.98,28.886,32.141,139918.11,180362.34,143873.99
2019-08-15,25.2,25.86,25.56,24.25,198252.02,-0.64,-2.44,26.368,29.931,32.592,177273.65,177941.78,146094.9
2019-08-14,26.81,26.83,26.2,26.17,103003.83,-0.14,-0.53,26.928,30.93,32.949,160700.85,164798.67,141331.67
2019-08-13,26.5,27.03,26.34,26.06,119108.9,-0.3,-1.13,27.99,31.906,33.282,190585.06,162321.62,140476.6
2019-08-12,26.73,27.37,26.64,26.22,144231.56,-0.46,-1.7,29.724,32.862,33.557,222951.28,159593.73,137161.07
2019-08-09,26.8,29.0,27.1,26.08,321771.94,-1.26,-4.44,31.792,33.864,33.795,220806.57,154488.38,132318.94
2019-08-08,28.4,29.75,28.36,28.36,115388.0,-3.15,-10.0,33.494,34.795,34.0,178609.9,139513.88,119425.12
2019-08-07,34.99,34.99,31.51,31.51,252424.88,-3.5,-10.0,34.932,35.529,34.095,168896.5,143870.35,115592.47
2019-08-06,37.8,38.3,35.01,33.28,280940.03,-1.97,-5.33,35.822,35.766,34.029,134058.18,129443.75,105237.34
2019-08-05,35.35,37.09,36.98,35.2,133507.98,1.37,3.85,36.0,35.702,33.819,96236.18,110903.52,93403.79
2019-08-02,34.05,36.15,35.61,33.93,110788.63,0.06,0.17,35.936,35.395,33.523,88170.2,107385.63,90445.02
2019-08-01,35.65,36.19,35.55,35.25,66820.98,-0.41,-1.14,36.096,35.253,33.368,100417.86,114248.02,86888.22
2019-07-31,36.0,36.45,35.96,35.53,78233.3,0.06,0.17,36.126,34.968,33.215,118844.2,117864.67,86581.71
2019-07-30,36.77,36.87,35.9,35.62,91830.03,-0.76,-2.07,35.71,34.657,33.026,124829.32,118631.58,86390.0
2019-07-29,36.4,37.1,36.66,36.2,93178.06,0.25,0.69,35.404,34.252,32.873,125570.86,114728.4,87039.15
2019-07-26,35.65,37.3,36.41,35.21,172026.95,0.71,1.99,34.854,33.726,32.668,126601.07,110149.5,90287.18
2019-07-25,33.88,36.18,35.7,33.72,158952.66,1.82,5.37,34.41,33.205,32.404,128078.17,99336.35,88435.47
2019-07-24,34.39,34.85,33.88,33.33,108158.88,-0.49,-1.43,33.81,32.66,32.16,116885.14,87314.59,83563.72
2019-07-23,34.37,34.99,34.37,33.48,95537.74,0.46,1.36,33.604,32.291,31.991,112433.84,81030.94,82737.84
